policy_id,insurer_id,policy_type_id,coverage_type_id,policy_year,start_date,end_date,premium_amount,policy_status
1,5,3,2,2023,2025-05-01,2026-05-01,25170756,Renewed
2,4,8,6,2024,2025-03-21,2026-03-21,10070646,Active
3,3,1,5,2025,2025-02-16,2026-02-16,545076,Expired
4,4,1,1,2023,2023-05-27,2024-05-26,955968,Expired
5,2,1,4,2023,2024-03-05,2025-03-05,2637836,Active
6,5,10,2,2025,2025-10-01,2026-10-01,5463356,Active
7,3,3,7,2024,2024-10-10,2025-10-10,3654200,Active
8,1,10,4,2023,2023-08-13,2024-08-12,3404951,Expired
9,2,7,2,2023,2023-10-01,2024-09-30,3617149,Active
10,5,7,7,2024,2023-12-27,2024-12-26,2692680,Active
11,2,3,6,2025,2024-07-10,2025-07-10,8235854,Expired
12,4,2,5,2023,2022-05-29,2023-05-29,1249668,Expired
13,3,7,2,2025,2024-07-18,2025-07-18,11198037,Expired
14,2,12,1,2023,2025-08-15,2026-08-15,11742945,Renewed
15,5,2,7,2022,2026-03-27,2027-03-27,960915,Active
16,2,10,1,2023,2022-05-06,2023-05-06,6920581,Active
17,1,7,6,2022,2025-07-01,2026-07-01,5323063,Expired
18,3,1,2,2024,2024-03-28,2025-03-28,1950062,Active
19,6,8,6,2024,2024-01-29,2025-01-28,3593389,Renewed
20,1,5,4,2025,2024-02-05,2025-02-04,19592903,Renewed
21,5,8,3,2025,2023-08-03,2024-08-02,2948110,Expired
22,1,5,6,2025,2026-04-07,2027-04-07,17907319,Active
23,3,2,3,2024,2025-10-13,2026-10-13,3042732,Renewed
24,5,6,7,2022,2022-10-20,2023-10-20,4030842,Active
25,5,10,2,2024,2023-07-15,2024-07-14,13764155,Expired
26,1,5,1,2024,2024-02-22,2025-02-21,13774972,Active
27,3,10,1,2025,2025-09-12,2026-09-12,9744768,Expired
28,2,10,1,2024,2024-03-25,2025-03-25,3885050,Expired
29,2,1,3,2024,2025-11-18,2026-11-18,600163,Expired
30,4,8,2,2023,2026-02-01,2027-02-01,4209195,Renewed
31,5,9,3,2022,2024-04-11,2025-04-11,13621680,Active
32,1,7,3,2024,2025-06-24,2026-06-24,3701757,Active
33,5,8,7,2024,2026-01-28,2027-01-28,11138493,Expired
34,3,1,2,2024,2024-12-13,2025-12-13,2355078,Expired
35,1,12,1,2024,2023-06-11,2024-06-10,7754790,Renewed
36,5,10,4,2022,2025-02-24,2026-02-24,5051687,Renewed
37,6,2,5,2023,2022-11-16,2023-11-16,1035220,Renewed
38,1,9,3,2025,2024-09-28,2025-09-28,4339909,Renewed
39,2,4,1,2024,2025-06-12,2026-06-12,6695510,Expired
40,3,5,2,2025,2024-02-04,2025-02-03,6434060,Active
41,3,10,3,2022,2024-10-12,2025-10-12,12186406,Expired
42,2,8,7,2023,2025-10-15,2026-10-15,4425263,Active
43,4,10,1,2023,2022-09-12,2023-09-12,4715905,Active
44,3,11,4,2025,2024-09-23,2025-09-23,9411064,Renewed
45,5,4,1,2023,2023-10-31,2024-10-30,17712447,Expired
46,4,12,1,2022,2023-11-20,2024-11-19,2804518,Renewed
47,1,4,7,2025,2024-01-16,2025-01-15,13948573,Expired
48,3,6,4,2022,2022-06-13,2023-06-13,7096574,Active
49,1,5,6,2025,2025-04-13,2026-04-13,16220984,Expired
50,6,1,2,2023,2024-03-17,2025-03-17,1954372,Expired
51,6,7,4,2022,2024-10-22,2025-10-22,9546135,Renewed
